дата,время_МСК,монета,тип,stage,сила_score,цена_входа,движение_max_4ч_%,направление,change_4h_%,исход,график_MEXC_TV
2026-06-10,08:49,NEARUSDT,rug_prep,🐢 SLOW DIST,90,2.0446,2.8,↓,1.78,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ANEARUSDT.P
2026-06-10,09:59,STGUSDT,pump,🔴 СКВИЗ SETUP,95,0.3923,12.8,↑,3.5,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ASTGUSDT.P
2026-06-10,12:42,HOMEUSDT,pump,🔴 СКВИЗ SETUP,88,0.032733,8.5,↑,2.05,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AHOMEUSDT.P
2026-06-11,03:17,APTUSDT,pump,🔴 СКВИЗ SETUP,65,0.6279,2.2,↑,1.48,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AAPTUSDT.P
2026-06-11,23:11,IDUSDT,pump,🔴 СКВИЗ SETUP,120,0.03515,5.9,↓,-2.05,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AIDUSDT.P
2026-06-12,11:53,TRUMPUSDT,pump,🔴 СКВИЗ SETUP,83,1.901,16.6,↑,12.89,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ATRUMPUSDT.P
2026-06-12,14:20,BEATUSDT,rug_prep,🚨 ПОСТ-ПАМП РАГ,100,8.3625,21.7,↓,18.76,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABEATUSDT.P
2026-06-12,15:29,NEARUSDT,rug_prep,📉 CVD BEAR DIV,65,2.1032,4.2,↑,-3.11,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ANEARUSDT.P
2026-06-12,16:14,HOMEUSDT,pump,🔴 СКВИЗ SETUP,90,0.029514,3.8,↓,1.82,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AHOMEUSDT.P
2026-06-12,20:09,HUSDT,pump,🔴 СКВИЗ SETUP,75,0.26086,8.9,↑,4.89,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AHUSDT.P
