дата,время_МСК,монета,тип,stage,сила_score,цена_входа,движение_max_4ч_%,направление,change_4h_%,исход,график_MEXC_TV
2026-05-12,01:01,DYMUSDT,pump,🔴 ПРУЖИНА,115,0.03012,12.9,↑,-0.73,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ADYMUSDT.P
2026-05-12,10:17,BILLUSDT,pump,🔴 ПРУЖИНА,130,0.14172,13.1,↑,12.7,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-12,11:59,FARTCOINUSDT,pump,🔴 ПРУЖИНА,113,0.24769,5.4,↓,-3.96,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AFARTCOINUSDT.P
2026-05-12,12:14,MONUSDT,pump,🟠 PRE-BREAKOUT,86,0.031692,2.2,↓,-1.15,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AMONUSDT.P
2026-05-12,12:55,IRYSUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,85,0.052842,11.4,↑,-8.33,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3AIRYSUSDT.P
2026-05-12,14:50,NEARUSDT,pump,🟠 PRE-BREAKOUT,115,1.5458,2.1,↓,0.31,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ANEARUSDT.P
2026-05-12,18:05,XAUUSDT,pump,🟠 PRE-BREAKOUT,103,4675.86,0.7,↓,0.55,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAUUSDT.P
2026-05-12,18:12,ARUSDT,pump,🟠 PRE-BREAKOUT,113,2.3061,1.9,↓,0.97,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AARUSDT.P
2026-05-12,19:09,ETHUSDT,pump,🔴 ПРУЖИНА,86,2264.49,1.0,↑,0.88,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AETHUSDT.P
2026-05-13,06:23,TRUMPUSDT,pump,🟠 PRE-BREAKOUT,115,2.478,1.5,↓,-0.77,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ATRUMPUSDT.P
2026-05-13,09:54,PEAQUSDT,pump,🔴 ПРУЖИНА,95,0.024884,9.6,↓,-7.65,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APEAQUSDT.P
2026-05-13,12:15,IRYSUSDT,pump,🟠 PRE-BREAKOUT,90,0.058212,15.2,↓,-8.68,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AIRYSUSDT.P
2026-05-13,16:23,JTOUSDT,pump,🟠 PRE-BREAKOUT,120,0.5145,7.6,↓,-5.93,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AJTOUSDT.P
2026-05-13,17:06,FFUSDT,pump,🔴 ПРУЖИНА,115,0.08368,6.7,↑,6.07,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AFFUSDT.P
2026-05-13,18:02,ETHUSDT,pump,🔴 ПРУЖИНА,115,2267.75,1.5,↓,-0.66,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AETHUSDT.P
2026-05-13,18:16,OPGUSDT,pump,🔴 ПРУЖИНА,86,0.2667,7.9,↓,-4.27,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AOPGUSDT.P
2026-05-14,05:28,UBUSDT,pump,🟠 PRE-BREAKOUT,88,0.20476,7.1,↓,-4.86,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AUBUSDT.P
2026-05-14,07:22,PUMPFUNUSDT,pump,🟠 PRE-BREAKOUT,93,0.0018424,0.9,↑,0.28,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APUMPFUNUSDT.P
2026-05-14,09:14,SIRENUSDT,pump,🔴 ПРУЖИНА,128,0.64118,21.8,↓,-18.1,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ASIRENUSDT.P
2026-05-14,10:38,RIVERUSDT,pump,🟠 PRE-BREAKOUT,88,7.176,7.8,↑,3.3,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ARIVERUSDT.P
2026-05-14,11:00,DOGEUSDT,pump,🟠 PRE-BREAKOUT,90,0.11386,1.0,↓,-0.37,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ADOGEUSDT.P
2026-05-14,12:01,MLNUSDT,pump,🟡 НАКОПЛЕНИЕ,115,2.817,33.6,↑,16.58,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AMLNUSDT.P
2026-05-14,12:08,BSBUSDT,pump,🔴 ПРУЖИНА,106,0.4064,5.3,↑,3.05,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ABSBUSDT.P
2026-05-14,14:32,SIRENUSDT,pump,🔴 ПРУЖИНА,115,0.52829,10.4,↑,7.65,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ASIRENUSDT.P
2026-05-15,01:02,NAORISUSDT,pump,🟠 PRE-BREAKOUT,93,0.0479,14.2,↓,-9.44,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ANAORISUSDT.P
2026-05-15,07:31,PNUTUSDT,pump,🔴 ПРУЖИНА,120,0.06349,5.9,↓,-4.24,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APNUTUSDT.P
2026-05-15,07:31,PLAYSOUTUSDT,rug_prep,🚨 РАСПРЕДЕЛЕНИЕ,95,0.11434,8.4,↑,-5.85,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APLAYSOUTUSDT.P
2026-05-15,11:39,ZEREBROUSDT,pump,🔴 ПРУЖИНА,88,0.025827,24.5,↑,14.44,WIN,https://www.tradingview.com/chart/?symbol=MEXC%3AZEREBROUSDT.P
2026-05-15,12:30,TACUSDT,pump,🟠 PRE-BREAKOUT,100,0.021702,7.5,↓,-4.71,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ATACUSDT.P
2026-05-17,02:08,CLUSDT,pump,🟠 PRE-BREAKOUT,130,102.19,2.0,↑,0.93,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
