window_id,symbol,start_ms,label,split,dump_type,pct_chg,vol_ratio_1h,vol_spike_count,price_momentum_4h,cvd_divergence,upper_wick_ratio,support_break,vol_trend_slope,hour_of_day,oi_chg_4h,funding_rate,long_liq_ratio_4h,btc_regime
c_4730,PLAYUSDT,1762207200000,0,test,control,,0.8902867315361676,0,-3.0150753768844263,0,0.1025641025641069,0,-0.15143490479619381,22,,5e-05,0.5,-1
c_4731,PLAYUSDT,1764450000000,0,test,control,,1.0761751483353184,2,0.13647219379052145,1,0.1724137931034421,0,-0.056464328108498274,21,,5e-05,0.5,0
c_4732,PLAYUSDT,1767758400000,0,test,control,,0.35973424015306465,0,-1.3844757149341793,0,0.2758620689655313,0,-0.14821279879250462,4,,0.00059748,0.5,-1
c_4733,PLAYUSDT,1769486400000,0,test,control,,1.1762880422402229,0,0.2773009375412491,0,0.33333333333333676,0,0.019804031434604116,4,,5e-05,0.5,1
c_4734,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
c_4735,PLAYUSDT,1762128000000,0,test,control,,0.5813557999061455,0,1.5139442231075633,1,0.18421052631579188,0,-1.297472009140378,0,,5e-05,0.5,0
c_4736,PLAYUSDT,1764363600000,0,test,control,,0.3523626980137897,1,-0.4965243296921576,0,0.12000000000000888,0,0.17157569303159778,21,,5e-05,0.5,0
c_4737,PLAYUSDT,1767268800000,0,test,control,,0.478601690764721,0,-2.1296824491348088,0,0.4821428571428578,0,-0.020246237343904364,12,,0.00087292,0.5,-1
c_4738,PLAYUSDT,1772852400000,0,test,control,,0.7404666891908381,1,0.5113900511390004,0,0.15000000000000216,0,0.04236397188500268,3,,0.00024415,0.5,-1
c_4739,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
c_4740,PLAYUSDT,1761958800000,0,test,control,,0.5748773300534086,0,0.03941663381947021,0,0.03225806451612795,0,-0.04949301991353008,1,,5e-05,0.5,0
c_4741,PLAYUSDT,1764442800000,0,test,control,,2.872151095960997,2,-0.40540540540541226,0,0.4583333333333349,0,0.033614734703568336,19,,5e-05,0.5,0
