run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,funding,oi_24h_pct,outcome_4h,outcome_24h,change_4h_pct,change_24h_pct
2026-04-12T09:56:48,FARTCOINUSDT,bos_fvg,94,—,68,ЛОНГ,0.19308,0.005,-5.5734927519584545,LOSS,LOSS,-2.94,-2.94
2026-04-12T09:56:48,DOGEUSDT,squeeze,92,—,55,ЛОНГ,0.09113,-0.016363,1.2521706804481965,WIN,WIN,1.05,1.08
2026-04-12T09:56:48,AAVEUSDT,squeeze,92,—,41,ЛОНГ,89.78,-0.029406,3.0541957462772604,TP1,TP1,5.74,5.77
2026-04-12T09:56:48,AVAXUSDT,squeeze,90,—,58,ЛОНГ,9.012,-0.015782,-0.43529800834568183,TP1,TP1,2.85,2.85
2026-04-12T09:56:48,TRUMPUSDT,bos_fvg,89,—,50,ШОРТ,2.79,-0.14262999999999998,9.660707198621697,LOSS,LOSS,1.0,1.0
2026-04-12T09:56:48,OPUSDT,breakout,87,—,87,ЛОНГ,0.10815,0.002045,-1.0087979741826703,WIN,WIN,0.86,0.86
2026-04-12T09:56:48,XPLUSDT,breakout,86,—,86,ЛОНГ,0.12867,-0.009011,-1.0360358859656447,FLAT,FLAT,-0.12,-0.12
2026-04-12T09:56:48,LINKUSDT,squeeze,85,—,45,ЛОНГ,8.78,-0.007899,-0.509692556332254,WIN,WIN,0.93,0.92
2026-04-12T09:56:48,XRPUSDT,squeeze,84,—,36,ЛОНГ,1.3292,-0.016916,1.2247800869151662,WIN,WIN,0.91,0.92
2026-04-12T09:56:48,AKEUSDT,squeeze,84,—,49,ЛОНГ,0.0005282,0.069608,-15.769806834149128,WIN,WIN,4.7,4.7
2026-04-12T09:56:48,RENDERUSDT,breakout,83,—,83,ЛОНГ,1.8946,-0.004308,-6.83480496657335,FLAT,FLAT,0.42,0.42
2026-04-12T09:56:48,WIFUSDT,bos_fvg,80,—,71,ШОРТ,0.1893,0.005,3.609745234714222,WIN,WIN,-0.57,-0.57
2026-04-12T09:56:48,1000BONKUSDT,bos_fvg,80,—,67,ШОРТ,0.0057215,-0.00996,3.6085518801596925,FLAT,FLAT,0.18,0.18
2026-04-12T09:56:48,LTCUSDT,squeeze,79,—,44,ЛОНГ,53.71,0.002704,-1.3253890440169338,LOSS,LOSS,-0.89,-0.89
2026-04-12T09:56:48,ETHUSDT,squeeze,78,—,23,ЛОНГ,2213.15,-0.010657,-0.663894544988547,WIN,WIN,0.5,0.51
2026-04-12T09:56:48,NEARUSDT,squeeze,77,—,55,ЛОНГ,1.3279,-0.012218999999999999,-2.040699245012529,TP1,TP1,5.13,5.13
2026-04-12T09:56:48,PENGUUSDT,squeeze,77,—,71,ЛОНГ,0.006594,-0.019144,2.2254332096764737,WIN,WIN,0.55,0.53
2026-04-12T09:56:48,ONDOUSDT,bos_fvg,73,—,59,ШОРТ,0.2471,0.003745,1.314494309020677,STOP,STOP,2.31,2.27
2026-04-12T09:56:48,ARIAUSDT,squeeze,59,—,47,ЛОНГ,0.90751,0.060383,-2.7501930466009843,LOSS,LOSS,-10.49,-10.49
2026-04-12T09:56:48,SUIUSDT,bos_fvg,59,—,48,ШОРТ,0.91184,0.00204,-1.6610281296010567,LOSS,LOSS,0.65,0.65
2026-04-12T10:00:37,ENJUSDT,breakout,173,—,173,ЛОНГ,0.033383,-0.048992,11.457088360897718,TP1,TP1,41.87,41.88
2026-04-12T10:00:37,NOMUSDT,breakout,146,—,146,ЛОНГ,0.004228,-0.7149179999999999,12.427812780240464,STOP,STOP,-14.74,-14.74
2026-04-12T10:00:37,BLESSUSDT,bos_fvg,143,—,104,ЛОНГ,0.008179,0.005,59.849669496594,TP1,TP1,64.42,64.79
2026-04-12T10:00:37,SIRENUSDT,breakout,141,—,141,ЛОНГ,0.84234,-1.5643449999999999,6.213923907816544,LOSS,LOSS,-6.92,-6.92
2026-04-12T10:00:37,SOLUSDT,squeeze,134,—,44,ЛОНГ,82.144,-0.011243000000000001,-5.718048346791491,TP1,TP1,1.54,1.54
2026-04-12T10:00:37,TONUSDT,bos_fvg,133,—,101,ЛОНГ,1.4205,-0.01724,8.757525573267362,WIN,WIN,1.63,1.63
2026-04-12T10:00:37,TRUUSDT,breakout,131,—,131,ЛОНГ,0.010611,-0.8891619999999999,44.405138711009755,STOP,STOP,-27.91,-27.91
2026-04-12T10:00:37,CLUSDT,bos_fvg,130,—,85,ЛОНГ,93.623,0.599213,54.28859853001532,TP1,TP1,2.5,2.51
2026-04-12T10:00:37,DASHUSDT,bos_fvg,128,—,105,ШОРТ,43.41,0.001204,-9.000148234211194,WIN,WIN,-4.22,-4.19
2026-04-12T10:00:37,TAOUSDT,bos_fvg,127,—,60,ШОРТ,265.72,-0.030245,12.344027742424704,WIN,WIN,-2.11,-2.11
2026-04-12T10:00:37,VVVUSDT,bos_fvg,119,—,113,ЛОНГ,7.9516,0.005,-1.2984644352201444,TP1,TP1,11.49,11.44
2026-04-12T10:00:37,FFUSDT,squeeze,118,—,114,ЛОНГ,0.08499,0.00125,-1.5755484532504374,STOP,STOP,-8.44,-8.44
2026-04-12T10:00:37,RAVEUSDT,squeeze,116,—,108,ЛОНГ,2.48785,-0.388782,-23.44829857413918,TP1,TP1,286.41,286.48
2026-04-12T10:00:37,LABUSDT,breakout,116,—,116,ЛОНГ,0.48608,0.005,-2.8405195345171124,TP1,TP1,20.14,20.4
2026-04-12T10:00:37,ZECUSDT,breakout,114,—,114,ЛОНГ,367.58,0.01,-7.200036248925478,LOSS,LOSS,-1.9,-1.9
2026-04-12T10:00:37,1000PEPEUSDT,squeeze,114,—,97,ЛОНГ,0.0034992,-0.009569,7.787420357922524,WIN,WIN,1.68,1.68
2026-04-12T10:00:37,XPLUSDT,squeeze,114,—,87,ЛОНГ,0.12842,-0.009045000000000001,-1.038649000974978,FLAT,FLAT,0.12,0.12
2026-04-12T10:00:37,PUMPFUNUSDT,bos_fvg,113,—,92,ШОРТ,0.0017866,-0.032424,-3.1374808132587355,LOSS,LOSS,2.27,2.27
2026-04-12T10:00:37,VIRTUALUSDT,squeeze,112,—,84,ЛОНГ,0.6508,-0.021017,2.125088023874345,TP1,TP1,3.95,3.95
2026-04-12T10:00:37,BCHUSDT,squeeze,112,—,58,ЛОНГ,425.1,-0.014192999999999999,3.4404717544426,FLAT,FLAT,0.45,0.42
2026-04-12T10:00:37,WLDUSDT,squeeze,111,—,97,ЛОНГ,0.2914,-0.010053,-0.09377601425899096,TP1,TP1,3.91,3.91
2026-04-12T10:00:37,LITUSDT,breakout,110,—,110,ЛОНГ,1.0928,-0.0015930000000000002,-0.6039001104564482,WIN,WIN,4.43,4.43
2026-04-12T10:00:37,ADAUSDT,bos_fvg,109,—,71,ШОРТ,0.2399,0.01,0.4061435098746143,LOSS,LOSS,1.0,1.0
2026-04-12T10:00:37,HYPEUSDT,breakout,107,—,107,ЛОНГ,40.887,0.01,-2.3097546831328897,TP1,TP1,4.22,4.27
2026-04-12T10:00:37,DOTUSDT,breakout,105,—,105,ЛОНГ,1.2166,-0.142096,7.630205251239425,STOP,STOP,-3.21,-3.24
2026-04-12T10:00:37,WLFIUSDT,bos_fvg,105,—,62,ШОРТ,0.0797,0.00385,-1.8069473056882754,FLAT,FLAT,0.11,0.11
2026-04-12T10:00:37,MAGMAUSDT,breakout,104,—,104,ЛОНГ,0.21078,0.104879,-6.221850674803122,STOP,STOP,-15.49,-15.49
