pump_id,date,start_ms,symbol,pct_chg,pump_type,split,liq_sweep,macro_extreme,stablecoin_inflow,news_signal,token_unlock,liq_note,news_note,catalysts,confidence
41,2024-11-24 11:00:00+00:00,1732446000000,ALTUSDT,16.3749,main,train,0,1,1,0,0,no_coverage,no_coverage,macro_extreme|stablecoin_inflow,MEDIUM
42,2024-12-02 17:00:00+00:00,1733158800000,ALTUSDT,23.015,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
43,2025-01-20 00:00:00+00:00,1737331200000,ALTUSDT,15.0784,main,train,0,1,1,0,0,no_coverage,no_coverage,macro_extreme|stablecoin_inflow,MEDIUM
44,2025-02-03 02:00:00+00:00,1738548000000,ALTUSDT,29.7347,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
45,2025-04-28 01:00:00+00:00,1745802000000,ALTUSDT,16.2199,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
46,2025-05-09 16:00:00+00:00,1746806400000,ALTUSDT,15.0726,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
47,2025-06-15 09:00:00+00:00,1749978000000,ALTUSDT,86.253,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
48,2025-06-17 08:00:00+00:00,1750147200000,ALTUSDT,20.1675,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
49,2025-07-10 15:00:00+00:00,1752159600000,ALTUSDT,74.1156,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
50,2025-07-27 00:00:00+00:00,1753574400000,ALTUSDT,30.8498,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
51,2025-10-11 01:00:00+00:00,1760144400000,ALTUSDT,15.5367,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
52,2025-10-11 20:00:00+00:00,1760212800000,ALTUSDT,17.8744,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
53,2025-11-01 07:00:00+00:00,1761980400000,ALTUSDT,27.3931,main,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
54,2025-11-19 19:00:00+00:00,1763578800000,ALTUSDT,15.7625,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
55,2026-01-31 18:00:00+00:00,1769882400000,ALTUSDT,16.629,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
56,2026-04-02 21:00:00+00:00,1775163600000,ALTUSDT,20.8631,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
57,2026-04-15 09:00:00+00:00,1776243600000,ALTUSDT,19.1533,main,test,0,1,0,0,0,checked,checked,macro_extreme,LOW
58,2026-05-21 16:00:00+00:00,1779379200000,ALTUSDT,47.679,main,test,0,0,0,0,0,checked,checked,none,NONE
59,2026-05-26 17:00:00+00:00,1779814800000,ALTUSDT,22.2477,main,test,0,0,0,0,0,checked,checked,none,NONE
60,2024-07-16 14:00:00+00:00,1721138400000,ALTUSDT,10.2722,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
61,2024-08-05 12:00:00+00:00,1722859200000,ALTUSDT,11.0168,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
62,2024-11-14 01:00:00+00:00,1731546000000,ALTUSDT,19.8645,fast,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
63,2024-12-03 06:00:00+00:00,1733205600000,ALTUSDT,11.1185,fast,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
64,2025-06-16 08:00:00+00:00,1750060800000,ALTUSDT,73.9773,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
65,2025-07-11 04:00:00+00:00,1752206400000,ALTUSDT,46.8104,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
66,2025-11-02 05:00:00+00:00,1762059600000,ALTUSDT,10.9091,fast,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
67,2026-05-21 05:00:00+00:00,1779339600000,ALTUSDT,10.1223,fast,test,0,0,0,0,0,checked,checked,none,NONE
68,2026-05-22 06:00:00+00:00,1779429600000,ALTUSDT,15.2506,fast,test,0,0,0,0,0,checked,checked,none,NONE
69,2025-12-14 16:00:00+00:00,1765728000000,BEATUSDT,102.3767,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
70,2025-12-21 18:00:00+00:00,1766340000000,BEATUSDT,31.0395,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
71,2025-12-23 21:00:00+00:00,1766523600000,BEATUSDT,25.3549,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
72,2026-02-14 17:00:00+00:00,1771088400000,BEATUSDT,23.5591,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
73,2026-03-06 07:00:00+00:00,1772780400000,BEATUSDT,40.5295,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
74,2026-03-15 22:00:00+00:00,1773612000000,BEATUSDT,39.9794,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
75,2026-05-22 03:00:00+00:00,1779418800000,BEATUSDT,80.9165,main,test,0,0,0,0,0,checked,checked,none,NONE
76,2026-05-26 11:00:00+00:00,1779793200000,BEATUSDT,27.2962,main,test,0,0,0,0,0,checked,checked,none,NONE
77,2025-11-13 13:00:00+00:00,1763038800000,BEATUSDT,12.6133,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
78,2025-11-20 12:00:00+00:00,1763640000000,BEATUSDT,57.7449,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
79,2025-12-07 06:00:00+00:00,1765087200000,BEATUSDT,12.5008,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
80,2025-12-12 12:00:00+00:00,1765540800000,BEATUSDT,12.7468,fast,test,0,0,0,0,0,no_coverage,no_coverage,none,NONE
81,2025-12-14 17:00:00+00:00,1765731600000,BEATUSDT,13.9809,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
82,2025-12-14 23:00:00+00:00,1765753200000,BEATUSDT,14.2052,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
83,2025-12-15 03:00:00+00:00,1765767600000,BEATUSDT,19.78,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
84,2025-12-15 15:00:00+00:00,1765810800000,BEATUSDT,12.6115,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
85,2025-12-16 23:00:00+00:00,1765926000000,BEATUSDT,15.3081,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
86,2025-12-18 17:00:00+00:00,1766077200000,BEATUSDT,13.5854,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
87,2025-12-21 19:00:00+00:00,1766343600000,BEATUSDT,13.0816,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
88,2025-12-24 04:00:00+00:00,1766548800000,BEATUSDT,11.4465,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
89,2025-12-24 13:00:00+00:00,1766581200000,BEATUSDT,10.4325,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
90,2025-12-26 02:00:00+00:00,1766714400000,BEATUSDT,23.4297,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
91,2025-12-29 09:00:00+00:00,1766998800000,BEATUSDT,17.9804,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
92,2026-01-01 15:00:00+00:00,1767279600000,BEATUSDT,17.2032,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
93,2026-01-14 03:00:00+00:00,1768359600000,BEATUSDT,12.7766,fast,test,0,0,1,0,0,no_coverage,no_coverage,stablecoin_inflow,LOW
94,2026-03-27 11:00:00+00:00,1774609200000,BEATUSDT,10.3448,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
95,2026-04-03 01:00:00+00:00,1775178000000,BEATUSDT,18.1212,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
96,2026-04-08 13:00:00+00:00,1775653200000,BEATUSDT,11.733,fast,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
97,2026-05-22 07:00:00+00:00,1779433200000,BEATUSDT,10.2518,fast,test,0,0,0,0,0,checked,checked,none,NONE
98,2024-08-05 12:00:00+00:00,1722859200000,BNBUSDT,19.1984,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
99,2024-12-03 13:00:00+00:00,1733230800000,BNBUSDT,23.9164,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
100,2025-10-12 01:00:00+00:00,1760230800000,BNBUSDT,18.2321,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
101,2026-04-21 06:00:00+00:00,1776751200000,BSBUSDT,59.6929,main,test,0,0,0,0,0,checked,checked,none,NONE
102,2026-04-23 09:00:00+00:00,1776934800000,BSBUSDT,78.2264,main,test,0,0,0,0,0,checked,checked,none,NONE
103,2026-04-24 20:00:00+00:00,1777060800000,BSBUSDT,80.8944,main,test,0,0,0,0,0,checked,checked,none,NONE
104,2026-04-28 07:00:00+00:00,1777359600000,BSBUSDT,25.3955,main,test,0,0,0,1,0,checked,checked,news_signal,LOW
105,2026-04-29 16:00:00+00:00,1777478400000,BSBUSDT,93.7424,main,test,0,0,0,0,0,checked,checked,none,NONE
106,2026-05-03 07:00:00+00:00,1777791600000,BSBUSDT,85.4161,main,test,0,0,0,0,0,checked,checked,none,NONE
107,2026-05-04 14:00:00+00:00,1777903200000,BSBUSDT,33.0693,main,test,0,0,0,0,0,checked,checked,none,NONE
108,2026-05-07 16:00:00+00:00,1778169600000,BSBUSDT,70.7828,main,test,0,0,0,0,0,checked,checked,none,NONE
109,2026-05-08 18:00:00+00:00,1778263200000,BSBUSDT,19.4719,main,test,0,0,0,0,0,checked,checked,none,NONE
110,2026-05-16 15:00:00+00:00,1778943600000,BSBUSDT,49.7285,main,test,0,0,0,0,0,checked,checked,none,NONE
111,2026-05-19 20:00:00+00:00,1779220800000,BSBUSDT,90.3547,main,test,0,0,0,0,0,checked,checked,none,NONE
112,2026-05-20 20:00:00+00:00,1779307200000,BSBUSDT,28.2834,main,test,1,0,0,0,0,checked,checked,liq_sweep,LOW
113,2026-05-22 15:00:00+00:00,1779462000000,BSBUSDT,154.5563,main,test,0,0,0,1,0,checked,checked,news_signal,LOW
114,2026-05-25 10:00:00+00:00,1779703200000,BSBUSDT,37.0268,main,test,0,0,0,0,0,checked,checked,none,NONE
115,2026-04-22 01:00:00+00:00,1776819600000,BSBUSDT,21.4481,fast,test,0,0,0,0,0,checked,checked,none,NONE
116,2026-04-23 10:00:00+00:00,1776938400000,BSBUSDT,12.1921,fast,test,0,0,0,0,0,checked,checked,none,NONE
117,2026-04-23 12:00:00+00:00,1776945600000,BSBUSDT,17.5539,fast,test,0,0,0,0,0,checked,checked,none,NONE
118,2026-04-24 04:00:00+00:00,1777003200000,BSBUSDT,10.6165,fast,test,0,0,0,0,0,checked,checked,none,NONE
119,2026-04-24 07:00:00+00:00,1777014000000,BSBUSDT,18.8286,fast,test,0,0,0,0,0,checked,checked,none,NONE
120,2026-04-25 01:00:00+00:00,1777078800000,BSBUSDT,14.0917,fast,test,0,0,0,0,0,checked,checked,none,NONE
121,2026-04-25 12:00:00+00:00,1777118400000,BSBUSDT,20.0518,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
122,2026-04-26 03:00:00+00:00,1777172400000,BSBUSDT,13.2489,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
123,2026-04-26 05:00:00+00:00,1777179600000,BSBUSDT,38.6083,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
124,2026-04-27 05:00:00+00:00,1777266000000,BSBUSDT,11.7729,fast,test,0,0,0,0,0,checked,checked,none,NONE
125,2026-04-28 08:00:00+00:00,1777363200000,BSBUSDT,14.7758,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
126,2026-04-29 16:00:00+00:00,1777478400000,BSBUSDT,31.7552,fast,test,0,0,0,0,0,checked,checked,none,NONE
127,2026-04-30 02:00:00+00:00,1777514400000,BSBUSDT,18.4438,fast,test,0,0,0,0,0,checked,checked,none,NONE
