run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,stop,tp1,tp2,funding,oi_24h_pct,mtf_bull,mtf_bear,rsi_1h,cvd_kline,cvd_trade,ema_bull_1h,ema_bull_4h,choch_bull_1h,vwap_dev,rs_btc,resolve_4h_ts,price_4h,change_4h_pct,hit_tp1_4h,hit_stop_4h,outcome_4h,resolve_24h_ts,price_24h,change_24h_pct,hit_tp1_24h,hit_stop_24h,outcome_24h
2026-04-12T09:56:48,ENJUSDT,breakout,110,—,110,ЛОНГ,0.033415,0.0306723,0.03570059,0.03722431,-0.055756999999999994,11.559376020597757,5,0,56.93,21.3,-19.4,1,1,0,6.9,-10.24,2026-04-13T14:56:34,0.048317,44.6,1,0,TP1,2026-04-13T14:56:35,0.048377,44.78,1,0,TP1
2026-04-12T09:56:48,HYPEUSDT,breakout,107,—,107,ЛОНГ,40.884,39.93467352,41.6751054,42.202509,0.01,-2.2938322862844847,3,5,28.15,-4.3,-23.4,0,1,0,-2.53,1.9,2026-04-13T14:56:36,42.582,4.15,1,0,TP1,2026-04-13T14:56:37,42.582,4.15,1,0,TP1
2026-04-12T09:56:48,SHIB1000USDT,squeeze,106,—,76,ЛОНГ,0.005823,0.00573391,0.00589724,0.00594674,-0.015397,8.698430809453985,0,5,24.61,-6.7,39.4,0,0,0,-1.54,0.78,2026-04-13T14:56:38,0.005808,-0.26,0,0,FLAT,2026-04-13T14:56:39,0.005808,-0.26,0,0,FLAT
2026-04-12T09:56:48,XAUTUSDT,bos_fvg,105,—,47,ЖДАТЬ,4700.9,4695.25892,4706.54108,4712.18216,0.005,-0.040111770845858895,3,3,29.49,10.7,-2.8,0,0,0,-0.22,0.26,2026-04-13T14:56:39,4687.0,-0.3,1,0,TP1,2026-04-13T14:56:40,4687.0,-0.3,1,0,TP1
2026-04-12T09:56:48,APTUSDT,bos_fvg,105,—,79,ШОРТ,0.8216,0.83771979,0.80816684,0.7992114,-0.056041,1.3949468988430125,0,5,11.69,-29.0,-0.6,0,0,0,-3.14,1.76,2026-04-13T14:56:41,0.8374,1.92,0,0,LOSS,2026-04-13T14:56:42,0.8374,1.92,0,0,LOSS
2026-04-12T09:56:48,PUMPFUNUSDT,squeeze,104,—,73,ЛОНГ,0.0017875,0.00173409,0.00183201,0.00186168,-0.031286,-3.062445112734581,3,5,29.43,-5.9,2.2,0,0,0,-4.48,1.34,2026-04-13T14:56:43,0.0018242,2.05,0,0,WIN,2026-04-13T14:56:44,0.0018242,2.05,0,0,WIN
2026-04-12T09:56:48,ADAUSDT,breakout,103,—,103,ЛОНГ,0.2396,0.23507156,0.2433737,0.2458895,0.01,0.3837177561361634,0,5,16.67,-41.3,27.6,0,0,0,-3.29,2.32,2026-04-13T14:56:45,0.2418,0.92,0,0,WIN,2026-04-13T14:56:45,0.2417,0.88,0,0,WIN
2026-04-12T09:56:48,MONUSDT,breakout,103,—,103,ЛОНГ,0.033565,0.03210291,0.03478341,0.03559568,0.01,2.5319101759492386,3,0,28.86,-40.1,9.6,0,0,0,-4.86,3.8,2026-04-13T14:56:46,0.034494,2.77,0,0,WIN,2026-04-13T14:56:47,0.034494,2.77,0,0,WIN
2026-04-12T09:56:48,CRVUSDT,breakout,102,—,102,ЛОНГ,0.2124,0.20819448,0.2159046,0.218241,-0.001475,0.9791705991717097,2,5,23.81,-1.9,-3.2,0,0,0,-2.19,2.13,2026-04-13T14:56:49,0.2113,-0.52,0,0,LOSS,2026-04-13T14:56:49,0.2113,-0.52,0,0,LOSS
2026-04-12T09:56:48,QUSDT,bos_fvg,102,—,32,ЛОНГ,0.009193,0.0082316,0.00999417,0.01052828,0.067524,29.77223595981376,5,0,59.99,-40.2,9.5,1,1,0,0.01,-9.44,2026-04-13T14:56:50,0.009404,2.3,0,0,WIN,2026-04-13T14:56:51,0.009404,2.3,0,0,WIN
